algorithm,solution_id,score
SimulatedAnnealing,solution_150.json,387301
SimulatedAnnealing,solution_151.json,387301
SimulatedAnnealing,solution_152.json,387301
SimulatedAnnealing,solution_153.json,387301
SimulatedAnnealing,solution_154.json,387301
SimulatedAnnealing,solution_155.json,387301
SimulatedAnnealing,solution_156.json,387301
SimulatedAnnealing,solution_157.json,387301
SimulatedAnnealing,solution_158.json,387301
SimulatedAnnealing,solution_159.json,387301
SimulatedAnnealing,solution_160.json,387301
SimulatedAnnealing,solution_161.json,387301
SimulatedAnnealing,solution_162.json,387301
SimulatedAnnealing,solution_163.json,387301
SimulatedAnnealing,solution_164.json,387301
SimulatedAnnealing,solution_165.json,390261
SimulatedAnnealing,solution_166.json,390261
SimulatedAnnealing,solution_167.json,390186
SimulatedAnnealing,solution_168.json,390186
SimulatedAnnealing,solution_169.json,390186
SimulatedAnnealing,solution_170.json,390186
SimulatedAnnealing,solution_171.json,390186
SimulatedAnnealing,solution_172.json,390186
SimulatedAnnealing,solution_173.json,390186
SimulatedAnnealing,solution_174.json,390186
SimulatedAnnealing,solution_175.json,390186
SimulatedAnnealing,solution_176.json,390186
SimulatedAnnealing,solution_177.json,390186
SimulatedAnnealing,solution_178.json,390186
SimulatedAnnealing,solution_179.json,390186
SimulatedAnnealing,solution_180.json,390186
SimulatedAnnealing,solution_181.json,390186
SimulatedAnnealing,solution_182.json,390186
SimulatedAnnealing,solution_183.json,390186
SimulatedAnnealing,solution_184.json,390186
SimulatedAnnealing,solution_185.json,390186
SimulatedAnnealing,solution_186.json,390186
SimulatedAnnealing,solution_187.json,390186
SimulatedAnnealing,solution_188.json,390186
SimulatedAnnealing,solution_189.json,390186
SimulatedAnnealing,solution_190.json,390186
SimulatedAnnealing,solution_191.json,390186
SimulatedAnnealing,solution_192.json,395457
SimulatedAnnealing,solution_193.json,395457
SimulatedAnnealing,solution_194.json,395457
SimulatedAnnealing,solution_195.json,395457
SimulatedAnnealing,solution_196.json,395457
SimulatedAnnealing,solution_197.json,395457
SimulatedAnnealing,solution_198.json,395457
SimulatedAnnealing,solution_199.json,395457
SimulatedAnnealing,solution_200.json,395457
SimulatedAnnealing,solution_201.json,395457
SimulatedAnnealing,solution_202.json,395457
SimulatedAnnealing,solution_203.json,395457
SimulatedAnnealing,solution_204.json,395457
SimulatedAnnealing,solution_205.json,395457
SimulatedAnnealing,solution_206.json,395457
SimulatedAnnealing,solution_207.json,395457
SimulatedAnnealing,solution_208.json,399370
SimulatedAnnealing,solution_209.json,399370
SimulatedAnnealing,solution_210.json,399370
SimulatedAnnealing,solution_211.json,399370
SimulatedAnnealing,solution_212.json,399370
SimulatedAnnealing,solution_213.json,399370
SimulatedAnnealing,solution_214.json,399370
SimulatedAnnealing,solution_215.json,399370
SimulatedAnnealing,solution_216.json,399370
SimulatedAnnealing,solution_217.json,399370
SimulatedAnnealing,solution_218.json,399370
SimulatedAnnealing,solution_219.json,399370
SimulatedAnnealing,solution_220.json,399370
SimulatedAnnealing,solution_221.json,399370
SimulatedAnnealing,solution_222.json,399370
SimulatedAnnealing,solution_223.json,399370
SimulatedAnnealing,solution_224.json,399370
SimulatedAnnealing,solution_225.json,399370
SimulatedAnnealing,solution_226.json,399370
SimulatedAnnealing,solution_227.json,399370
SimulatedAnnealing,solution_228.json,399370
SimulatedAnnealing,solution_229.json,399370
SimulatedAnnealing,solution_230.json,399370
SimulatedAnnealing,solution_231.json,399370
SimulatedAnnealing,solution_232.json,399370
SimulatedAnnealing,solution_233.json,399370
SimulatedAnnealing,solution_234.json,399370
SimulatedAnnealing,solution_235.json,399370
SimulatedAnnealing,solution_236.json,399370
SimulatedAnnealing,solution_237.json,399370
SimulatedAnnealing,solution_238.json,399370
SimulatedAnnealing,solution_239.json,399370
SimulatedAnnealing,solution_240.json,399370
SimulatedAnnealing,solution_241.json,399370
SimulatedAnnealing,solution_242.json,399370
SimulatedAnnealing,solution_243.json,399370
SimulatedAnnealing,solution_244.json,399370
SimulatedAnnealing,solution_245.json,399370
SimulatedAnnealing,solution_246.json,399370
SimulatedAnnealing,solution_247.json,399370
SimulatedAnnealing,solution_248.json,399370
SimulatedAnnealing,solution_249.json,399370
SimulatedAnnealing,solution_250.json,399370
SimulatedAnnealing,solution_251.json,399370
SimulatedAnnealing,solution_252.json,399370
SimulatedAnnealing,solution_253.json,399370
SimulatedAnnealing,solution_254.json,399370
SimulatedAnnealing,solution_255.json,399370
SimulatedAnnealing,solution_256.json,399370
SimulatedAnnealing,solution_257.json,399370
SimulatedAnnealing,solution_258.json,399370
SimulatedAnnealing,solution_259.json,399370
SimulatedAnnealing,solution_260.json,403509
SimulatedAnnealing,solution_261.json,403509
SimulatedAnnealing,solution_262.json,403509
SimulatedAnnealing,solution_263.json,403509
SimulatedAnnealing,solution_264.json,403509
SimulatedAnnealing,solution_265.json,403509
SimulatedAnnealing,solution_266.json,403509
SimulatedAnnealing,solution_267.json,403509
SimulatedAnnealing,solution_268.json,403679
SimulatedAnnealing,solution_269.json,403679
SimulatedAnnealing,solution_270.json,403679
SimulatedAnnealing,solution_271.json,414029
SimulatedAnnealing,solution_272.json,414029
SimulatedAnnealing,solution_273.json,414029
SimulatedAnnealing,solution_274.json,414029
SimulatedAnnealing,solution_275.json,414029
SimulatedAnnealing,solution_276.json,414029
SimulatedAnnealing,solution_277.json,414029
